
2024/09/04 (14:42:14) | ===> btop++ v.1.3.2
2024/09/04 (14:42:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/04 (19:35:24) | ===> btop++ v.1.3.2
2024/09/04 (19:35:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:04:44) | ===> btop++ v.1.3.2
2024/09/05 (22:04:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:22:29) | ===> btop++ v.1.3.2
2024/09/05 (22:22:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:26:37) | ===> btop++ v.1.3.2
2024/09/05 (22:26:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:36:25) | ===> btop++ v.1.3.2
2024/09/05 (22:36:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/05 (22:36:46) | ===> btop++ v.1.3.2
2024/09/05 (22:36:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/08 (17:55:01) | ===> btop++ v.1.3.2
2024/09/08 (17:55:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/13 (19:06:48) | ===> btop++ v.1.3.2
2024/09/13 (19:06:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (09:24:14) | ===> btop++ v.1.3.2
2024/09/14 (09:24:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (09:24:34) | ===> btop++ v.1.3.2
2024/09/14 (09:24:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/14 (09:24:36) | ===> btop++ v.1.3.2
2024/09/14 (09:24:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (18:16:09) | ===> btop++ v.1.3.2
2024/09/15 (18:16:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/15 (22:09:20) | ===> btop++ v.1.3.2
2024/09/15 (22:09:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (21:03:00) | ===> btop++ v.1.3.2
2024/09/16 (21:03:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/16 (21:05:48) | ===> btop++ v.1.3.2
2024/09/16 (21:05:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/19 (21:12:06) | ===> btop++ v.1.3.2
2024/09/19 (21:12:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/19 (21:52:51) | ===> btop++ v.1.3.2
2024/09/19 (21:52:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/20 (18:02:55) | ===> btop++ v.1.3.2
2024/09/20 (18:02:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (21:22:22) | ===> btop++ v.1.3.2
2024/09/21 (21:22:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/09/21 (21:27:14) | ===> btop++ v.1.3.2
2024/09/21 (21:27:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

